Days,Longitude,Latitude,Temp1,Hum1,Wind1,Rain
0,37.8106959,-122.183232,19.39,62.0,3.16,0
1,37.8106959,-122.183232,20.49,59.0,2.7,0
2,37.8106959,-122.183232,19.509999999999998,65.0,2.78,0
3,37.8106959,-122.183232,18.47,70.0,2.82,0
4,37.8106959,-122.183232,18.494999999999997,70.0,2.28,0
5,37.8106959,-122.183232,18.81,66.0,1.9,0
0,38.2674577,-114.5958307,24.42,27.0,2.62,0
1,38.2674577,-114.5958307,25.54,32.0,1.56,0
2,38.2674577,-114.5958307,24.490000000000002,32.0,1.6,0
3,38.2674577,-114.5958307,24.134999999999998,44.0,2.45,0
4,38.2674577,-114.5958307,21.990000000000002,62.0,3.21,1
5,38.2674577,-114.5958307,22.255,48.0,3.82,0
0,40.0246419,-117.111486,24.265,14.000000000000002,1.44,0
1,40.0246419,-117.111486,26.12,18.0,2.62,0
2,40.0246419,-117.111486,25.865000000000002,27.0,2.11,0
3,40.0246419,-117.111486,23.104999999999997,44.0,2.01,0
4,40.0246419,-117.111486,20.830000000000002,57.99999999999999,1.15,0
5,40.0246419,-117.111486,19.58,56.00000000000001,0.49,0
0,39.387717,-114.6980699,23.630000000000003,33.0,1.14,0
1,39.387717,-114.6980699,23.195,32.0,2.36,0
2,39.387717,-114.6980699,22.11,37.0,1.62,0
3,39.387717,-114.6980699,21.48,45.0,2.34,0
4,39.387717,-114.6980699,18.06,67.0,2.1,1
5,39.387717,-114.6980699,18.96,53.0,2.74,0
0,38.9310577,-114.4216662,27.115000000000002,27.0,1.52,0
1,38.9310577,-114.4216662,25.29,28.000000000000004,1.6,0
2,38.9310577,-114.4216662,24.64,30.0,1.33,0
3,38.9310577,-114.4216662,24.205,38.0,1.57,0
4,38.9310577,-114.4216662,20.950000000000003,60.0,1.63,1
5,38.9310577,-114.4216662,21.48,49.0,2.62,0
